,_id,url,title,description,keywords,topic,field used for the classification,comments,DISCUSSED,TO BE DECIDED
1218,apertium-rdf-en-gl,https://lod-cloud.net/dataset/apertium-rdf-en-gl,Apertium RDF EN-GL,RDF version of the Apertium bilingual dictionary EN-GL. The original dataset (in LMF) comes from http://hdl.handle.net/10230/17109 . The RDF version of the lexica is modelled using lemon (http://lemon-model.net/) and the translation module (http://purl.org/net/translation). More about the Apertium RDF dictionaries at http://linguistic.linkeddata.es/apertium/,Apertium; English; Galician; bilingual; dictionary; lemon; lexicon; linguistic lod; linguistics; llod; lod; multilingual; rdf; translation,linguistic,from title-abs-keyword,,,
911,apertium-rdf-eo-ca,https://lod-cloud.net/dataset/apertium-rdf-eo-ca,Apertium RDF EO-CA,RDF version of the Apertium bilingual dictionary EO-CA. The original dataset (in LMF) comes from http://hdl.handle.net/10230/22861 . The RDF version of the lexica is modelled using lemon (http://lemon-model.net/) and the translation module (http://purl.org/net/translation). More about the Apertium RDF dictionaries at http://linguistic.linkeddata.es/apertium/,Apertium; Catalan; Esperanto; bilingual; dictionary; lemon; lexicon; linguistic lod; linguistics; llod; lod; multilingual; rdf; translation,linguistic,from title-abs-keyword,,,
783,apertium-rdf-eo-en,https://lod-cloud.net/dataset/apertium-rdf-eo-en,Apertium RDF EO-EN,RDF version of the Apertium bilingual dictionary EO-EN. The original dataset (in LMF) comes from http://hdl.handle.net/10230/22863 . The RDF version of the lexica is modelled using lemon (http://lemon-model.net/) and the translation module (http://purl.org/net/translation). More about the Apertium RDF dictionaries at http://linguistic.linkeddata.es/apertium/,Apertium; English; Esperanto; bilingual; dictionary; lemon; lexicon; linguistic lod; linguistics; llod; lod; multilingual; rdf; translation,linguistic,from title-abs-keyword,,,
786,apertium-rdf-eo-es,https://lod-cloud.net/dataset/apertium-rdf-eo-es,Apertium RDF EO-ES,RDF version of the Apertium bilingual dictionary EO-ES. The original dataset (in LMF) comes from http://hdl.handle.net/10230/22865 . The RDF version of the lexica is modelled using lemon (http://lemon-model.net/) and the translation module (http://purl.org/net/translation). More about the Apertium RDF dictionaries at http://linguistic.linkeddata.es/apertium/,Apertium; Esperanto; Spanish; bilingual; dictionary; lemon; lexicon; linguistic lod; linguistics; llod; lod; multilingual; rdf; translation,linguistic,from title-abs-keyword,,,
741,apertium-rdf-eo-fr,https://lod-cloud.net/dataset/apertium-rdf-eo-fr,Apertium RDF EO-FR,RDF version of the Apertium bilingual dictionary EO-FR. The original dataset (in LMF) comes from http://hdl.handle.net/10230/22867 . The RDF version of the lexica is modelled using lemon (http://lemon-model.net/) and the translation module (http://purl.org/net/translation). More about the Apertium RDF dictionaries at http://linguistic.linkeddata.es/apertium/,Apertium; Esperanto; French; bilingual; dictionary; lemon; lexicon; linguistic lod; linguistics; llod; lod; multilingual; rdf; translation,linguistic,from title-abs-keyword,,,
675,apertium-rdf-es-an,https://lod-cloud.net/dataset/apertium-rdf-es-an,Apertium RDF ES-AN,RDF version of the Apertium bilingual dictionary ES-AN. The original dataset (in LMF) comes from http://hdl.handle.net/10230/22869 . The RDF version of the lexica is modelled using lemon (http://lemon-model.net/) and the translation module (http://purl.org/net/translation). More about the Apertium RDF dictionaries at http://linguistic.linkeddata.es/apertium/,Apertium; Aragonese; Spanish; bilingual; dictionary; lemon; lexicon; linguistic lod; linguistics; llod; lod; multilingual; rdf; translation,linguistic,from title-abs-keyword,,,
435,apertium-rdf-es-ast,https://lod-cloud.net/dataset/apertium-rdf-es-ast,Apertium RDF ES-AST,RDF version of the Apertium bilingual dictionary ES-AST. The original dataset (in LMF) comes from http://hdl.handle.net/10230/17116 . The RDF version of the lexica is modelled using lemon (http://lemon-model.net/) and the translation module (http://purl.org/net/translation). More about the Apertium RDF dictionaries at http://linguistic.linkeddata.es/apertium/,Apertium; Asturian; Spanish; bilingual; dictionary; general ontology of linguistic description; lemon; lexicon; linguistic lod; llod; lod; multilingual; rdf; translation,linguistic,from title-abs-keyword,,,
657,apertium-rdf-es-ca,https://lod-cloud.net/dataset/apertium-rdf-es-ca,Apertium RDF ES-CA,RDF version of the Apertium bilingual dictionary ES-CA. The original dataset (in LMF) comes from http://hdl.handle.net/10230/17127 . The RDF version of the lexica is modelled using lemon (http://lemon-model.net/) and the translation module (http://purl.org/net/translation). More about the Apertium RDF dictionaries at http://linguistic.linkeddata.es/apertium/,Catalan; Catalán; Español; Spanish; apertium; bilingual; dictionary; es-ca; lemon; lexicon; linguistic LOD; linguistics; llod; lod; multilingual; rdf; translation,linguistic,from title-abs-keyword,,,
705,apertium-rdf-es-gl,https://lod-cloud.net/dataset/apertium-rdf-es-gl,Apertium RDF ES-GL,RDF version of the Apertium bilingual dictionary ES-GL. The original dataset (in LMF) comes from http://hdl.handle.net/10230/17121 . The RDF version of the lexica is modelled using lemon (http://lemon-model.net/) and the translation module (http://purl.org/net/translation). More about the Apertium RDF dictionaries at http://linguistic.linkeddata.es/apertium/,Apertium; Galician; Spanish; bilingual; dictionary; lemon; lexicon; linguistic lod; linguistics; llod; lod; multilingual; rdf; translation,linguistic,from title-abs-keyword,,,
450,apertium-rdf-es-pt,https://lod-cloud.net/dataset/apertium-rdf-es-pt,Apertium RDF ES-PT,RDF version of the Apertium bilingual dictionary ES-PT. The original dataset (in LMF) comes from http://hdl.handle.net/10230/17101. The RDF version of the lexica is modelled using lemon (http://lemon-model.net/) and the translation module (http://purl.org/net/translation). More about the Apertium RDF dictionaries at http://linguistic.linkeddata.es/apertium/,Apertium; Portuguese; Spanish; bilingual; dictionary; lemon; lexicon; linguistic lod; linguistics; llod; lod; multilingual; rdf; translation,linguistic,from title-abs-keyword,,,
468,apertium-rdf-es-ro,https://lod-cloud.net/dataset/apertium-rdf-es-ro,Apertium RDF ES-RO,RDF version of the Apertium bilingual dictionary ES-RO. The original dataset (in LMF) comes from http://hdl.handle.net/10230/17122 . The RDF version of the lexica is modelled using lemon (http://lemon-model.net/) and the translation module (http://purl.org/net/translation). More about the Apertium RDF dictionaries at http://linguistic.linkeddata.es/apertium/,Apertium; Romanian; Spanish; bilingual; dictionary; lemon; lexicon; linguistic lod; linguistics; llod; lod; multilingual; rdf; translation,linguistic,from title-abs-keyword,,,
1396,apertium-rdf-eu-en,https://lod-cloud.net/dataset/apertium-rdf-eu-en,Apertium RDF EU-EN,RDF version of the Apertium bilingual dictionary EU-EN. The original dataset (in LMF) comes from http://hdl.handle.net/10230/22870 . The RDF version of the lexica is modelled using lemon (http://lemon-model.net/) and the translation module (http://purl.org/net/translation). More about the Apertium RDF dictionaries at http://linguistic.linkeddata.es/apertium/,Apertium; Basque; English; bilingual; dictionary; lemon; lexicon; linguistic lod; linguistics; llod; lod; multilingual; rdf; translation,linguistic,from title-abs-keyword,,,
1398,apertium-rdf-eu-es,https://lod-cloud.net/dataset/apertium-rdf-eu-es,Apertium RDF EU-ES,RDF version of the Apertium bilingual dictionary EU-ES. The original dataset (in LMF) comes from <http://hdl.handle.net/10230/17095> . The RDF version of the lexica is modelled using lemon (http://lemon-model.net/) and the translation module (http://purl.org/net/translation). More about the Apertium RDF dictionaries at http://linguistic.linkeddata.es/apertium/,Apertium; Basque; Spanish; bilingual; dictionary; lemon; lexicon; linguistic lod; linguistics; llod; lod; multilingual; rdf; translation,linguistic,from title-abs-keyword,,,
402,apertium-rdf-fr-ca,https://lod-cloud.net/dataset/apertium-rdf-fr-ca,Apertium RDF FR-CA,RDF version of the Apertium bilingual dictionary FR-CA. The original dataset (in LMF) comes from http://hdl.handle.net/10230/17097 . The RDF version of the lexica is modelled using lemon (http://lemon-model.net/) and the translation module (http://purl.org/net/translation). More about the Apertium RDF dictionaries at http://linguistic.linkeddata.es/apertium/,Apertium; Catalan; French; bilingual; dictionary; lemon; lexicon; linguistic lod; linguistics; llod; lod; multilingual; rdf; translation,linguistic,from title-abs-keyword,,,
